,漢語方言學下,2,101 30712,二6.7
01,聲韻學甲下,2,101 311A2,一3.4
02,聲韻學甲下,2,101 311A2,一3.4
,尚書甲下,2,101 322A2,二1.2
,禮記甲下,2,101 323A2,二3.4
,莊子甲下,2,101 332A2,二8.9
,荀子甲下,2,101 334A2,五3.4
,歷代詩選下,2,101 34002,三3.4
,小說選下,2,101 36202,四8.9
,楚辭甲下,2,101 372A2,四3.4
,詞選及習作下,2,101 37402,四6.7
,稼軒詞,3,101 376A0,二7.8.9
01,訓詁學下,2,101 41102,四3.4
02,訓詁學下,2,101 41102,四3.4
01,中國思想史下,3,101 41202,三2.3.4
02,中國思想史下,3,101 41202,三2.3.4
,華語教學法進階,3,101 42300,一6.7.8
,漢語語言學下,2,101 42402,三3.4
,蘇軾文,3,101 42700,四7.8.9
,東坡詞,3,101 42800,一2.3.4
,初級臺灣客語,2,101 42900,一8.9
,中國思想概說下,2,101 45602,一3.4
,文心雕龍下,2,101 45902,二8.9
,蒙文二,2,101 51120,五3.4
,納蘭詞,3,101 51400,五7.8.9
,藏文一,2,101 51410,四6.7
,藏文三,2,101 51430,四8.9
,學術研究與寫作初階,2,101 51500,二3.4
,滿文一,2,101 51510,五6.7
,滿文二,2,101 51520,五8.9
,閩南語概論二,2,101 51720,五3.4
,八思巴漢語文獻選讀,2,101 51900,五6.7
,樂府詩選讀,2,101 52300,五3.4
,甲骨文概論下,2,101 52502,三8.9
,亞洲共同體：東亞文學與文化,3,101 52600,五3.4.5
,亞洲共同體：東亞文學與文化,3,101 52600,五3.4.5
,亞洲共同體：東亞文學與文化,3,101 52600,五3.4.5
,數位文創：數位視訊與微電影,2,101 53000,五6.7
,數位文創：數位視訊與微電影,2,101 53000,五6.7
,數位文創：優化內容網站,2,101 53100,五3.4
,數位文創：優化內容網站,2,101 53100,五3.4
,聊齋誌異選,2,101 53700,一3.4
,中國神話選讀,3,101 54100,二7.8.9
,中國神話選讀,3,101 54100,二7.8.9
,臺灣閩南語二,2,101 54400,四3.4
,詩經選讀,2,101 54500,三3.4
,佛教文獻導讀,2,101 54600,四8.9
